Label,Timestamp,Success,PacketLoss(%),Retries,AvgLatency(ms),Jitter(ms),Throughput(KB/s),AvgSetupTime(s)
RINA,2025-03-22T15:38:03.586541,10,0.0,0,1.0,0.55,1004.84,0.0
TCP,2025-03-22T15:38:03.586541,,0.0,0,0.2,0.4,94.38,0
RINA,2025-03-22T15:38:16.702457,100,0.0,0,1.31,1.2,761.43,0.0
TCP,2025-03-22T15:38:16.702457,,0.0,0,0.2,0.4,94.71,0
RINA,2025-03-22T15:41:14.718036,963,3.7,190,2.7,3.77,369.96,0.0
TCP,2025-03-22T15:41:14.718036,,0.0,0,1.3,4.2,101.81,0
RINA,2025-03-22T15:44:20.167956,10,0.0,0,0.65,0.24,1541.74,0.0
TCP,2025-03-22T15:44:20.167956,,0.0,0,0.2,0.4,106.31,0
RINA,2025-03-22T15:45:23.994496,93,7.0,68,1.06,0.42,947.61,0.0
TCP,2025-03-22T15:45:23.994496,,0.0,0,0.4,1.4,100.27,0
RINA,2025-03-22T15:50:40.126977,100,0.0,5,1.27,1.03,788.31,0.0
TCP,2025-03-22T15:50:40.126977,,0.0,0,0.3,0.6,93.98,0
RINA,2025-03-22T15:52:03.757651,99,1.0,9,2.35,7.73,426.35,0.022
TCP,2025-03-22T15:52:03.757651,,0.0,0,0.5,1.1,91.14,0
RINA,2025-03-22T15:52:33.851149,100,0.0,27,1.35,3.35,742.08,0.023
TCP,2025-03-22T15:52:33.851149,,0.0,0,1.4,1.6,125.92,0
RINA,2025-03-22T18:08:34.843461,100,0.0,12,1.61,0.78,620.17,0.02
TCP,2025-03-22T18:08:34.843461,,0.0,0,0.3,0.9,96.92,0
RINA,2025-03-22T18:08:51.035382,98,2.0,16,1.56,4.12,642.05,0.014
TCP,2025-03-22T18:08:51.035382,,0.0,0,0.5,0.8,95.08,0
RINA,2025-03-22T18:09:32.465986,100,0.0,7,1.32,2.16,7599.23,0.0
TCP,2025-03-22T18:09:32.465986,,0.0,0,0.5,1.3,126.71,0
RINA,2025-03-22T18:09:45.247136,100,0.0,9,0.93,0.34,107520.62,0.0
TCP,2025-03-22T18:09:45.247136,,0.0,0,0.5,1.3,91.11,0
RINA,2025-03-22T18:09:56.248379,100,0.0,0,1.24,3.1,809069.25,0.0
TCP,2025-03-22T18:09:56.248379,,0.0,0,0.3,0.5,97.36,0
RINA,2025-03-22T18:10:07.966151,97,3.0,23,1.31,1.34,760.58,0.029
TCP,2025-03-22T18:10:07.966151,,0.0,0,0.3,0.5,100.28,0
RINA,2025-03-27T08:50:45.149475,100,0.0,9,3.73,5.12,268.17,0.0
TCP,2025-03-27T08:50:45.149475,,0.0,0,0.6,3.1,94.58,0
RINA,2025-03-27T08:52:13.578353,978,2.2,262,2.78,6.25,359.59,0.0
TCP,2025-03-27T08:52:13.578353,,0.0,0,0.4,2.5,100.48,0
RINA,2025-03-27T08:59:19.835235,807,19.3,954,3.75,4.65,266.89,0.014
TCP,2025-03-27T08:59:19.835235,,0.0,0,0.3,1.9,94.77,0
RINA,2025-03-27T09:03:40.854766,1000,0.0,47,2.78,6.33,359.96,0.0
TCP,2025-03-27T09:03:40.854766,,0.0,0,0.5,2.7,94.46,0
RINA,2025-03-27T09:25:27.811455,1000,0.0,4,3.54,6.78,282.84,0.0
TCP,2025-03-27T09:25:27.811455,,0.0,0,0.5,2.3,123.89,0
RINA,2025-03-27T09:26:47.462725,1000,0.0,29,2.87,5.02,348.27,0.021
TCP,2025-03-27T09:26:47.462725,,0.0,0,0.4,2.1,96.97,0
RINA,2025-03-27T09:37:06.720480,100,0.0,2,5.64,9.72,177.27,0.0
TCP,2025-03-27T09:37:06.720480,,0.0,0,0.8,3.9,95.12,0
RINA,2025-03-27T09:37:37.480616,100,0.0,26,4.31,5.37,231.81,0.013
TCP,2025-03-27T09:37:37.480616,,0.0,0,0.4,1.0,94.61,0
RINA,2025-03-27T09:40:04.569568,100,0.0,17,3.99,6.93,250.89,0.013
TCP,2025-03-27T09:40:04.569568,,0.0,0,0.7,3.6,101.56,0
RINA,2025-03-27T09:42:50.164089,1000,0.0,75,3.75,6.87,266.46,0.016
TCP,2025-03-27T09:42:50.164089,,0.0,0,0.4,3.1,87.53,0
RINA,2025-03-27T09:45:23.618609,994,0.6,164,2.82,7.5,354.43,0.009
TCP,2025-03-27T09:45:23.618609,,0.0,0,0.5,3.1,94.97,0
RINA,2025-03-27T09:47:06.163007,1000,0.0,37,2.97,7.47,3363.39,0.0
TCP,2025-03-27T09:47:06.163007,,0.0,0,0.4,2.4,126.04,0
RINA,2025-03-27T09:49:43.945811,1000,0.0,77,2.77,6.63,36084.84,0.0
TCP,2025-03-27T09:49:43.945811,,0.0,0,0.5,2.9,93.38,0
RINA,2025-03-27T14:52:27.702140,100,0.0,4,1.59,1.05,15.51,0.0
TCP,2025-03-27T14:52:27.702140,,0.0,0,0.3,0.4,96.8,0
RINA,2025-03-27T14:53:24.218466,93,7.0,40,2.31,4.81,4.32,0.011
TCP,2025-03-27T14:53:24.218466,,0.0,0,0.4,1.1,93.87,0
RINA,2025-03-27T15:02:53.387659,100,0.0,7,1.4,0.85,12.35,0.011
TCP,2025-03-27T15:02:53.387659,,0.0,0,0.4,0.4,93.99,0
RINA,2025-03-27T15:03:49.797483,95,5.0,28,1.79,3.9,6.0,0.0
TCP,2025-03-27T15:03:49.797483,,0.0,0,0.6,2.3,93.92,0
RINA,2025-03-27T15:08:35.450021,990,1.0,117,1.53,1.19,10.19,0.013
TCP,2025-03-27T15:08:35.450021,,0.0,0,0.4,2.1,94.21,0
RINA,2025-03-28T15:04:43.143834,100,0.0,1,3.45,2.34,32.51,0.0
TCP,2025-03-28T15:04:43.143834,,0.0,0,0.7,2.1,94.75,0
RINA,2025-03-28T15:05:17.828243,100,0.0,8,2.57,4.73,22.52,0.01
TCP,2025-03-28T15:05:17.828243,,0.0,0,0.3,0.7,94.02,0
RINA,2025-03-28T15:06:25.105424,998,0.2,73,2.13,1.62,28.26,0.0
TCP,2025-03-28T15:06:25.105424,,0.0,0,0.4,2.9,97.97,0
