Label,Timestamp,Success,TotalPackets,PacketLoss(%),Retries,AvgLatency(ms),Jitter(ms),Throughput(KB/s),AvgSetupTime(s)
RINA,2025-03-20T12:04:00.236446,0,100,100,300,0,0,0.0,0
RINA,2025-03-20T12:05:08.666616,100,100,0,21,2.822,9.539,354.39,0
RINA,2025-03-20T12:08:09.088135,95,100,5,48,3.729,8.269,268.2,0
RINA,2025-03-20T12:18:47.039384,200,200,0,64,2.862,7.781,349.39,0
RINA,2025-03-20T12:35:37.939153,200,200,0,3,4.318,12.368,231.57,0
RINA,2025-03-20T12:36:37.586164,200,200,0,0,3.861,9.553,259.02,0
RINA,2025-03-20T12:37:16.461647,1000,1000,0,13,3.669,8.057,272.57,0
RINA,2025-03-20T14:38:09.038596,497,500,1,60,1.437,3.575,695.7,0
RINA,2025-03-20T15:14:12.351202,497,500,1,64,1.553,3.22,644.05,0
RINA,2025-03-21T17:24:28.359077,100,100,0,8,4.788,5.707,208.84,0
RINA,2025-03-21T20:38:47.797118,100,100,0,14,4.073,11.748,245.5,0
RINA,2025-03-21T20:44:45.030531,99,100,1,12,4.631,13.79,215.92,0
RINA,2025-03-21T20:51:44.667949,100,100,0,2,3.699,2.664,270.32,0
RINA,2025-03-21T20:52:37.322435,100,100,0,3,4.379,8.148,228.35,0
RINA,2025-03-22T15:12:15.429365,10,10,0,0,3.173,0.611,315.12,0
RINA,2025-03-22T15:21:01.550760,10,10,0,0,1.631,2.051,613.25,0
RINA,2025-03-22T15:25:21.292681,10,10,0,0,1.059,0.441,944.34,0
RINA,2025-03-22T15:27:44.264181,10,10,0,0,1.239,0.899,807.23,0
RINA,2025-03-22T15:35:44.765355,10,10,0,0,1.339,0.487,746.65,0
RINA,2025-03-22T15:37:11.447890,10,10,0,0,0.9,0.345,1111.43,0
RINA,2025-03-22T15:38:01.337881,10,10,0,0,0.995,0.551,1004.84,0
RINA,2025-03-22T15:38:13.512865,100,100,0,0,1.313,1.205,761.43,0
RINA,2025-03-22T15:41:01.747196,963,1000,4,190,2.703,3.767,369.96,0
RINA,2025-03-22T15:44:17.941251,10,10,0,0,0.649,0.236,1541.74,0
RINA,2025-03-22T15:45:20.677510,93,100,7,68,1.055,0.418,947.61,0
RINA,2025-03-22T15:50:36.782356,100,100,0,5,1.269,1.034,788.31,0
RINA,2025-03-22T15:52:00.292159,99,100,1,9,2.345,7.729,426.35,0.022
RINA,2025-03-22T15:52:31.145551,100,100,0,27,1.348,3.348,742.08,0.023
RINA,2025-03-22T18:08:31.674810,100,100,0,12,1.612,0.776,620.17,0.02
RINA,2025-03-22T18:08:48.315226,98,100,2,16,1.558,4.124,642.05,0.014
RINA,2025-03-22T18:09:29.598187,100,100,0,7,1.316,2.161,7599.23,0
RINA,2025-03-22T18:09:41.810900,100,100,0,9,0.93,0.345,107520.62,0
